schema,text,process,pull,push
S3,12Ko,6.171170999999999,0.214629,3.8475680000000003
S3,12Ko,6.183836,0.453829,4.318985
S3,12Ko,6.1809009999999995,0.223034,3.6129119999999997
S3,12Ko,6.0131429999999995,0.230997,4.123533
S3,12Ko,6.233727,0.24644199999999997,3.729882
S3,12Ko,6.2558739999999995,0.525373,4.230463
S3,12Ko,6.193706,0.216907,4.011005
S3,12Ko,5.985745,0.21747299999999997,3.9082239999999997
S3,12Ko,6.082583,0.22684100000000001,3.740805
S3,12Ko,6.154825,0.43520500000000006,4.380295
S3,12Ko,6.159138,0.223619,3.949637
S3,12Ko,6.123214000000001,0.274873,4.279477
S5,1Ko,2.046584,0.101711,2.030385
S5,1Ko,2.046089,0.097541,1.2726160000000002
S5,1Ko,2.034415,0.10027400000000002,1.234367
S5,1Ko,2.0364079999999998,0.106817,1.248092
S5,1Ko,2.046081,0.101491,1.262921
S5,1Ko,2.030336,0.102002,1.2522449999999998
S5,1Ko,2.027035,0.395634,1.270366
S5,1Ko,2.0426320000000002,0.105766,1.199546
S5,1Ko,2.034317,0.103831,1.132517
S5,1Ko,1.898714,0.10122199999999999,1.108555
S5,1Ko,2.036734,0.10129800000000001,1.277716
S5,1Ko,2.033936,0.10350200000000001,1.2520140000000002
S5,1Ko,1.8826669999999999,0.10206399999999999,1.60065
S5,1Ko,2.03924,0.34873200000000004,1.311008
S5,1Ko,1.904639,0.170141,1.294121
S5,1Ko,2.036645,0.11237499999999999,1.596886
S5,1Ko,2.025896,0.100199,1.29138
S5,1Ko,1.893956,0.104267,1.1310200000000001
S5,1Ko,1.9073120000000001,0.10091,1.2341280000000001
S5,1Ko,1.902473,0.099929,1.266584
S5,1Ko,2.033644,0.423775,1.176008
S5,1Ko,1.904582,0.102512,1.4515349999999998
S5,1Ko,1.902024,0.10102799999999999,1.172851
S5,1Ko,1.88932,0.10154099999999999,1.966391
S5,1Ko,1.910733,0.11071299999999999,1.4998559999999999
S5,1Ko,1.9011490000000002,0.10657,1.7748640000000002
S5,1Ko,1.895583,0.10109900000000001,1.152056
S5,1Ko,1.889562,0.430296,1.232532
S5,1Ko,1.901072,0.102445,1.134129
S5,1Ko,1.890805,0.099746,1.253255
S5,5Ko,3.523243,0.146064,2.063743
S5,5Ko,3.6489330000000004,0.141567,2.296379
S5,5Ko,3.622917,0.139398,2.5346260000000003
S5,5Ko,3.6286629999999995,0.372685,2.0280630000000004
S5,5Ko,3.642729,0.140773,2.460945
S5,5Ko,3.621021,0.152328,2.450713
S5,5Ko,3.6462820000000002,0.14164200000000002,2.192308
S5,5Ko,3.604224,0.147201,2.221543
S5,5Ko,3.610768,0.43503000000000003,2.365446
S5,5Ko,3.6173669999999998,0.14310399999999998,2.396374
S5,5Ko,3.63178,0.143071,2.039519
S5,5Ko,3.6327160000000003,0.137799,2.5722169999999998
S5,5Ko,3.637969,0.133375,2.065962
S5,5Ko,3.603443,0.505462,2.345403
S5,5Ko,3.6605309999999998,0.129672,2.3715070000000003
S5,5Ko,3.602256,0.135824,2.6794350000000002
S5,5Ko,3.642242,0.137349,2.3452479999999998
S5,5Ko,3.611918,0.130739,2.9817080000000002
S5,5Ko,3.624199,0.404458,2.335012
S5,5Ko,3.664708,0.134588,2.223886
S5,5Ko,3.6372890000000004,0.134055,2.009662
S5,5Ko,3.642227,0.137043,2.5918659999999996
S5,5Ko,3.645762,0.138206,2.222346
S5,5Ko,3.6513910000000003,0.44611599999999996,2.491321
S5,5Ko,3.618561,0.146592,2.7305170000000003
S5,5Ko,3.559506,0.143055,2.118293
S5,5Ko,3.5479139999999996,0.137209,2.269779
S5,5Ko,3.5731020000000004,0.140217,2.567851
S5,5Ko,3.579957,0.41321,2.407445
S5,5Ko,3.6134390000000005,0.14741100000000001,2.102253
S5,12Ko,7.240191,0.233576,4.48524
S5,12Ko,7.351021,0.23403000000000002,4.389673
S5,12Ko,7.3617729999999995,0.47682899999999995,4.331195
S5,12Ko,7.373740999999999,0.21622800000000003,4.441927
S5,12Ko,7.445860000000001,0.251541,4.3289420000000005
S5,12Ko,7.200683000000001,0.24555800000000003,4.332624
S5,12Ko,7.237839,0.23866,4.466618
S5,12Ko,7.384171000000001,0.250637,4.771757999999999
S5,12Ko,7.182942000000001,0.240189,4.272512000000001
S5,12Ko,7.519276,0.605615,4.253937
S5,12Ko,7.305989,0.24236300000000002,3.934742
S5,12Ko,7.416985,0.251061,4.131595
S5,12Ko,7.429949000000001,0.223672,4.457414999999999
S5,12Ko,7.372552,0.22656,4.448667
S5,12Ko,7.35267,0.230174,4.365522
S5,12Ko,7.320663,0.22751600000000002,4.004947
S5,12Ko,7.449942999999999,0.535449,5.566858000000001
S5,12Ko,7.3493900000000005,0.225275,4.484165
S5,12Ko,7.214911,0.22524399999999997,5.105595000000001
S5,12Ko,7.339069,0.22024,4.412374000000001
S5,12Ko,7.169853,0.22524799999999998,4.019456
S5,12Ko,7.091975,0.23385,4.584797
S5,12Ko,7.342510999999999,0.236255,3.990986
S5,12Ko,7.264399000000001,0.5411159999999999,4.105971
S5,12Ko,7.3072490000000005,0.219203,4.206336
S5,12Ko,7.241241,0.227569,4.11705
S5,12Ko,6.951758000000001,0.331714,4.416348
S5,12Ko,7.2118340000000005,0.23402099999999998,3.8935809999999997
S5,12Ko,7.270291,0.260634,4.345966000000001
S5,12Ko,7.173368,0.22020699999999999,4.1773419999999994
S4,1Ko,1.960076,0.032965999999999995,0.950812
S4,1Ko,1.925773,0.034196000000000004,0.71577
S4,1Ko,1.948029,0.031596,0.671497
S4,1Ko,1.9438369999999998,0.032773,0.701259
S4,1Ko,1.9515189999999998,0.033493,0.61971
S4,1Ko,1.9587590000000001,0.031907000000000005,0.6452519999999999
S4,1Ko,1.893129,0.031560000000000005,0.6518889999999999
S4,1Ko,1.935878,0.168406,0.633567
S4,1Ko,1.963095,0.033408,0.635526
S4,1Ko,1.9533580000000001,0.031869999999999996,0.580654
S4,1Ko,1.9517950000000002,0.033421,0.6576839999999999
S4,1Ko,1.9546970000000001,0.033978999999999995,0.66277
S4,1Ko,1.929267,0.032223,0.581539
S4,1Ko,1.938437,0.032063999999999995,0.654659
S4,1Ko,1.9418700000000002,0.140961,0.647545
S4,1Ko,1.926674,0.033202,0.6015539999999999
S4,1Ko,1.9455360000000002,0.033679,0.619413
S4,1Ko,1.9625050000000002,0.033874,0.672123
S4,1Ko,1.958384,0.032896,0.549326
S4,1Ko,1.931585,0.033209,0.58344
S4,1Ko,1.95174,0.032583,0.5765170000000001
S4,1Ko,1.956798,0.163435,0.701655
S4,1Ko,1.9632939999999999,0.033357,1.158085
S4,1Ko,1.946657,0.032682,0.61652
