duration_seconds,cpu0_package_joules,cpu0_dram_joules,cpu1_package_joules,cpu1_dram_joules,schema,text
3.583236,353.483765,44.779045,333.137329,42.637780,S2,5Ko
3.592370,354.031372,44.966012,334.093750,42.682838,S2,5Ko
3.550610,350.158569,44.401946,330.289917,42.229148,S2,5Ko
3.557321,350.756836,44.581844,330.796997,42.259594,S2,5Ko
3.626367,356.146912,45.189529,338.513428,43.229615,S2,5Ko
3.723325,366.037659,46.386280,347.649353,44.411387,S2,5Ko
3.561068,350.403992,44.550158,332.671143,42.375018,S2,5Ko
3.599180,353.690918,44.857856,336.194153,42.916041,S2,5Ko
3.484293,343.131409,43.530933,325.276978,41.443003,S2,5Ko
3.591763,352.570923,44.842908,335.101501,42.780743,S2,5Ko
3.627859,357.311462,45.397380,337.496643,43.082321,S2,5Ko
3.668363,361.602051,45.885006,341.244202,43.597993,S2,5Ko
3.501120,345.101868,43.811183,325.770874,41.643479,S2,5Ko
3.575862,351.502686,44.711894,333.579224,42.570292,S2,5Ko
3.500492,345.529236,43.837881,325.533630,41.616949,S2,5Ko
3.574840,353.297607,44.791959,332.413086,42.423412,S2,5Ko
3.601457,353.875916,45.001094,336.095459,42.904229,S2,5Ko
3.551655,349.308899,44.391680,330.356750,42.240118,S2,5Ko
3.690953,362.583862,46.124206,344.582092,43.896679,S2,5Ko
3.526237,346.245300,44.068820,328.968506,41.949448,S2,5Ko
8.116204,800.386963,101.409425,754.585510,96.177085,S2,12Ko
8.084074,785.595093,100.895559,767.921021,95.882575,S2,12Ko
8.147498,800.979980,101.412439,759.614136,96.713901,S2,12Ko
8.084885,794.100037,100.723694,754.010376,196526.758543,S2,12Ko
8.319135,817.410828,103.676992,775.828613,98.555409,S2,12Ko
7.913482,782.512817,98.729997,735.808716,93.773822,S2,12Ko
7.956974,782.303589,98.966964,742.919250,94.564297,S2,12Ko
8.167741,805.659607,101.504683,762.030334,97.071584,S2,12Ko
8.199780,806.610413,102.088577,764.662659,97.456180,S2,12Ko
8.090650,797.444824,101.023636,752.558228,96.090166,S2,12Ko
7.906508,780.082031,98.239296,738.132507,94.183419,S2,12Ko
8.216686,808.167969,102.291286,765.932068,97.669325,S2,12Ko
8.141917,804.306152,101.665669,756.764465,96.594301,S2,12Ko
7.717246,763.664124,96.374822,717.857300,91.695975,S2,12Ko
7.964181,784.369690,99.150487,743.017700,94.800804,S2,12Ko
7.966606,786.784790,99.496237,740.690857,94.510777,S2,12Ko
8.250667,813.518372,102.596139,770.386902,98.292433,S2,12Ko
8.023350,788.832397,99.627052,748.952148,95.647935,S2,12Ko
8.224345,808.427917,102.423081,767.383118,97.892123,S2,12Ko
8.133693,800.826843,101.248377,758.813293,96.884863,S2,12Ko
8.198494,808.413879,102.165276,762.315308,97.597491,S2,12Ko
7.876501,779.664185,98.376430,732.445801,93.347702,S2,12Ko
7.873593,776.440674,98.104136,734.549194,93.775628,S2,12Ko
7.766227,767.163025,96.851876,722.217041,92.324469,S2,12Ko
8.050103,791.119507,100.436789,750.947632,95.731473,S2,12Ko
7.933824,784.659546,99.022396,737.637512,94.284842,S2,12Ko
7.843009,773.610352,97.895306,729.279846,93.216581,S2,12Ko
8.031339,792.583191,100.133466,749.068359,95.447780,S2,12Ko
7.916116,780.878479,98.636040,738.452881,94.250326,S2,12Ko
7.633284,754.490662,95.089117,710.674744,91.035367,S2,12Ko
3.000537,295.381958,37.472852,280.169189,35.740127,S4,1Ko
2.751253,269.109314,34.348745,258.804749,32.779607,S4,1Ko
2.721182,267.486938,34.009024,253.604675,32.329206,S4,1Ko
2.737109,269.243713,34.200182,255.112061,32.527265,S4,1Ko
2.663197,262.371948,33.282182,247.996704,31.597897,S4,1Ko
2.719480,267.816650,34.006009,253.475525,32.302079,S4,1Ko
2.643856,260.408997,33.071791,246.579285,31.379566,S4,1Ko
2.805969,275.959290,35.079503,261.399963,33.315964,S4,1Ko
2.692688,264.704529,33.635948,251.509338,32.052016,S4,1Ko
2.630182,258.830322,32.891711,245.097229,31.250342,S4,1Ko
2.708821,266.787842,33.899659,252.365540,32.172243,S4,1Ko
2.709542,266.392456,33.848267,252.388000,32.162375,S4,1Ko
2.601710,256.083008,32.536552,242.625244,30.915149,S4,1Ko
2.683637,264.039246,33.557398,250.967651,31.997992,S4,1Ko
2.786573,274.230652,34.821714,259.502625,33.110087,S4,1Ko
2.624577,258.715332,32.857913,244.175903,31.146118,S4,1Ko
2.659490,261.648987,33.250511,247.843323,31.636759,S4,1Ko
2.725729,267.990723,34.050930,253.873230,32.397658,S4,1Ko
2.601019,256.093872,32.500413,242.274597,30.866358,S4,1Ko
2.609268,256.273987,32.580157,243.669189,31.064401,S4,1Ko
2.617248,258.072205,32.743163,243.737793,31.027069,S4,1Ko
2.877972,282.906799,35.946417,268.778687,34.204787,S4,1Ko
3.217366,316.221008,40.209578,299.266174,38.123698,S4,1Ko
2.651403,261.035461,33.146685,247.482910,31.560962,S4,1Ko
3.107021,305.170959,38.862566,289.925232,36.948689,S4,1Ko
2.721447,267.578064,34.058106,253.533936,32.354788,S4,1Ko
2.664053,262.352966,33.365903,248.361694,31.688993,S4,1Ko
2.647934,260.660461,33.136664,246.597290,31.390566,S4,1Ko
2.759396,271.504211,34.497537,256.795593,32.735895,S4,1Ko
2.667048,262.238464,33.349471,248.255371,31.650467,S4,1Ko
4.843282,476.864746,60.499153,450.602051,57.338219,S4,5Ko
4.691828,462.530640,58.637785,436.384766,55.536934,S4,5Ko
4.666275,459.640808,58.283835,434.025635,55.299723,S4,5Ko
4.592554,453.077576,57.483936,427.089172,54.371977,S4,5Ko
4.711158,464.165771,58.815923,438.640076,55.893945,S4,5Ko
4.730819,465.968994,59.165697,439.897095,55.977406,S4,5Ko
4.634368,456.560547,57.948230,431.219482,54.882707,S4,5Ko
5.267555,517.847168,65.766560,489.987061,62.312402,S4,5Ko
4.856479,477.678101,60.743892,451.753967,57.625201,S4,5Ko
4.727206,465.469666,59.060907,439.578735,56.063300,S4,5Ko
5.153105,506.916931,64.385689,479.233948,61.044537,S4,5Ko
4.677631,456.987976,58.403344,442.073425,55.610925,S4,5Ko
4.846889,477.165710,60.554860,450.855103,57.480738,S4,5Ko
4.715350,464.003906,58.947855,438.717651,55.969159,S4,5Ko
4.800873,472.472656,59.898582,446.563110,57.004969,S4,5Ko
4.791419,471.801453,59.911097,446.065125,56.986349,S4,5Ko
5.122307,505.218994,63.884614,476.437927,60.815419,S4,5Ko
5.083216,500.324585,63.459167,472.583252,60.263013,S4,5Ko
5.427444,533.744751,67.701429,504.672729,64.317666,S4,5Ko
5.568981,547.305664,69.464509,518.116455,65.993750,S4,5Ko
4.916383,485.328430,61.484442,456.833923,58.269790,S4,5Ko
4.879706,481.697510,60.905123,454.399536,57.984399,S4,5Ko
4.813391,474.556702,60.139282,447.621521,57.080827,S4,5Ko
4.765531,469.785522,59.497952,443.122192,56.523892,S4,5Ko
4.659956,459.590027,58.214098,433.499573,55.278227,S4,5Ko
4.645448,458.502625,58.091652,432.527710,55.127644,S4,5Ko
5.205923,512.882263,64.915100,484.623840,61.733587,S4,5Ko
5.341762,526.117249,66.753135,496.949707,63.329530,S4,5Ko
5.473732,538.192749,68.352077,509.429993,64.875825,S4,5Ko
4.786891,472.205872,59.802391,445.668518,56.771033,S4,5Ko
9.224513,909.594971,115.166191,858.109924,109.257560,S4,12Ko
9.308776,918.506653,116.199369,865.485657,110.204707,S4,12Ko
9.416398,914.612427,117.224836,894.956055,112.132660,S4,12Ko
9.187049,905.847595,114.639855,855.046326,108.930232,S4,12Ko
9.155372,901.606934,114.165785,851.837219,108.371767,S4,12Ko
9.149711,901.361511,114.271263,850.955688,108.264330,S4,12Ko
9.108159,896.971680,113.705285,847.400818,107.868458,S4,12Ko
9.513697,926.686462,118.845060,900.381226,112.719950,S4,12Ko
8.990590,888.336060,112.313108,836.369263,106.640296,S4,12Ko
8.950746,881.459106,111.676811,832.732117,106.197759,S4,12Ko
9.359321,922.717590,116.970106,870.398010,110.921175,S4,12Ko
9.307614,916.675720,116.228240,865.443298,110.153329,S4,12Ko
8.984421,885.150940,111.852777,838.359314,106.890268,S4,12Ko
8.957193,884.503052,111.762124,832.907288,106.063348,S4,12Ko
10.450835,1030.501221,130.736373,974.848450,124.119934,S4,12Ko
8.943293,883.661804,111.697344,832.330688,105.910226,S4,12Ko
9.895421,977.431091,123.576264,920.148193,117.072341,S4,12Ko
10.044096,979.108582,125.242021,950.750854,119.253846,S4,12Ko
9.499614,937.205811,118.596175,883.773071,112.600151,S4,12Ko
9.325768,919.092773,116.450151,867.368347,110.477414,S4,12Ko
9.144999,901.850830,113.951080,852.692078,108.549981,S4,12Ko
9.101261,898.362427,113.727333,845.898438,107.690733,S4,12Ko
9.109842,899.514771,113.821045,846.690979,107.886925,S4,12Ko
9.215560,909.156372,115.047600,857.148621,109.266786,S4,12Ko
9.187469,906.940186,114.701147,854.399475,108.825136,S4,12Ko
9.073859,896.894165,113.315778,843.738892,107.562473,S4,12Ko
9.409902,916.430542,117.350602,891.333252,111.803480,S4,12Ko
8.984640,875.082581,112.032016,851.881897,106.786778,S4,12Ko
9.038895,892.702759,112.798026,840.817322,107.311431,S4,12Ko
9.476705,934.980469,118.243556,881.529114,112.138412,S4,12Ko
4.151852,407.741455,52.053369,387.448120,49.549968,S5,1Ko
3.253326,319.958557,40.780941,303.903442,38.909308,S5,1Ko
3.285353,323.432800,41.219256,306.404907,39.322775,S5,1Ko
